node,neighbors
25316435,"21674799,25327130"
25316436,"1606993799,25316435"
25319177,"25310897,25310898"
25319178,"1682324863,12645537506"
25319181,"25319177,25319178"
25319182,"34385840,264496810"
25319183,"25319182,25327137"
25319190,"25319302,25319196"
25319193,"1606993790,25327136"
25319194,"25319193,21604552"
25319195,639567628
25319196,"25319193,21604552"
25319201,"25319203,25319202"
25319202,"25319212,25319195"
25319203,"26052934,8274304167"
25319204,"25319202,25319203"
25319205,"26064143,25319204"
25319206,"25319211,25319205"
25319207,"25319208,25319206"
25319208,"25319190,21674803"
25319211,"25319208,25319196"
25319212,"25319211,25319205"
25319255,"25319257,25319258"
25319257,21604551
25319258,"26027231,25319259"
25319259,"26027230,8831923525"
25319260,"25319207,265809740"
25319261,"25319260,25310931"
25319302,"25319183,21674802"
25321302,"21993017,195266,195262"
25321304,"1703401805,195275"
25321309,"1519682880,25321323"
25321323,25321327
25321327,"25321469,25321330"
25321330,"25321309,11304624943,25321327"
25321354,8785560397
25321357,25321354
25321359,"25335974,25321354"
25321407,25321359
25321408,"25321407,25321469"
25321422,"25321408,1288817934"
25321433,25321422
25321447,"25336247,25303831"
25321456,"25321433,25303831"
25321469,25321456
25321687,"25321689,459797860,25321447"
25321689,"25321687,25303841,25303831"
25327117,25498572
25327118,"25327117,2814044876"
25327119,"270473915,25327118,25327123"
25327120,"270473915,25327119"
25327121,"25327120,25327122"
25327122,25327123
25327123,"25310823,25310855"
25327124,5732208561
25327125,"25327128,25316261"
25327127,"25310889,1297040318"
25327128,"5732208559,25327129"
25327129,"25316263,554199956"
25327130,"16050062,25316250"
25327131,"25327148,25327132"
25327132,1042749228
25327133,"25327148,1042749196"
25327134,"1606993792,25327133"
25327135,"25327139,25327134"
25327136,7002003110
25327137,"1606993788,25327135"
25327138,"1297040321,25327137,25319182"
25327139,25327138
25327140,"2450596804,34385832,1011010986"
25327143,"25327134,25327139"
25327144,"25316417,1297040310"
25327145,"1297040317,1297040327"
25327146,"25327140,34385819"
25327147,"34385820,25327146"
25327148,25327143
25327152,25310885
25327153,25310901
25334263,"25334281,475003534"
25334276,"25334281,143421"
25334281,"25334299,195277"
25334299,143418
25334340,"21992835,25334299"
25334442,"474605974,195266"
25335974,"195274,8541062634"
25335981,8541062635
25336175,"25336178,25336179,4428355731"
25336178,"25336175,25336189"
25336179,"195261,25336175"
25336189,"195271,2026239409"
25336247,"251050862,25321433"
25336254,251047560
25337448,25337450
25337450,444667873
25337452,"25337455,25337461"
25337454,"25305955,15925438"
25337455,"25337456,25337448"
25337456,"25153074,25153103,21604533"
25337457,"195250,25337452"
25337458,"565447495,25337462"
25337459,"25337458,25337464"
25337460,"25337459,25337462"
25337461,"24009841,25337460"
25337462,"25337463,25450962"
25337463,"25337455,25337461"
25337464,"25337467,25337468"
25337465,"2217020722,25337469"
25337467,"663650280,25452393"
25337468,"25450960,25450965"
25337469,"25337468,663650175"
25450957,"25450963,565447496"
25450959,"318711370,25450960"
25450960,"25337458,25337464"
25450962,"565447495,25450964"
25450963,25450964
25450964,"26059185,25451944"
25450965,"25450967,25450966"
25450966,"276635164,26059236"
25450967,"318711366,26059219"
25451370,"195268,8541062635"
25451454,8785560397
25451455,"25451454,245957281"
25451862,"25451863,8784789884"
25451863,"25451865,15925451"
25451865,"25451868,25451869"
25451866,"5006393114,25451865"
25451868,"26731437,25451982"
25451869,"25451999,25451871"
25451871,"25451872,26058769"
25451872,"25451935,9214618"
25451935,"25451863,25451869"
25451937,"25451944,25450957"
25451944,"26059180,25451960"
25451960,"26731441,25451970"
25451970,"25499212,25499208"
25451982,"25451866,25499208"
25451998,"25451999,25451871"
25451999,25451868
25452392,"1352733757,195252"
25452393,25452392
25452874,"25452884,26289489,26084253,25452878"
25452878,"25452882,35413414,25452874"
25452882,25452878
25452884,"286483707,25452874,25452885,26084258"
25452885,25452884
25452887,"26289694,8794404140,26115859"
25452888,"26289580,26289694,26289489"
25454179,"23666815,16566897"
25468003,"25468008,25468022"
25468004,"25468003,25468011"
25468005,"25468004,25468006"
25468006,"25468007,25468043"
25468007,"25468004,25468008"
25468008,"25468076,25468038"
25468009,"25468003,25468011"
25468010,"25468012,25468017"
25468011,25468010
25468012,"25468009,25468021,25468010"
25468014,25468005
25468017,25468019
25468019,"25468012,25468017,25468020"
25468020,"1678246930,25468019,25468021,8836199010"
25468021,25468023
25468022,"376378078,25468023"
25468023,8836199010
25468025,25468022
25468030,25468005
25468032,"25468030,25468006"
25468033,"25468045,25468032"
25468037,"25468076,8832699229,25468038,48837735"
25468038,"25468037,8832699235"
25468040,"25468041,25468069"
25468041,"25468067,26086115"
25468043,25468044
25468044,"25468032,25468066,25468045"
25468045,11216988757
25468066,"26086118,25468068"
25468067,25468068
25468068,25468040
25468069,"8832699229,25468070"
25468070,"26086114,254567104,25468041"
25468073,"25468069,8832666445"
25468075,"25468073,33066313"
25468076,"25468025,25468037"
25468085,"382011406,382011402"
25468090,"1643908326,8281232336"
25468214,"4143189207,5257013006"
25468215,"25468216,283325403"
25468216,"25468228,25468217,25468215"
25468217,"25468226,928170072,25468216,215687061"
25468218,"215687070,25468219,928170072"
25468219,"25468227,569061957,25468218"
25468226,"4947306480,25468228"
25468227,"4968768578,4947306480,4947306501"
25468228,"25468216,25468226,26120305,283326996"
25468301,"26108000,6162399650,32533201,26084258"
25468304,"32533210,26108000,165860035,21674920"
25468305,"173030870,286483713,32533201"
25470101,"8434042,493545513,34648986"
25470290,"26009776,1798715904"
25470914,"25471053,25470916,25471028,25547435"
25470916,"25547440,25470914,8281232336"
25470917,"25549075,59640255"
25471028,"59640255,25470914"
25471053,"25470914,415638612"
25471072,"25471074,25471053"
25471074,"984186416,654019202,25471072"
25471717,"48880063,25471719"
25471719,"25471743,25471741,6424443708"
25471728,8168938358
25471730,"26132242,25471728"
25471741,"1288817944,48880114"
25471743,"48880118,48880065"
25471761,25525378
25478600,"35224285,35220563"
25478602,"35224308,25478600"
25495293,25499134
25495294,"2139361023,1148982742"
25495295,"26058917,195241"
25495298,2605393520
25495299,"1148982723,25495298"
25495334,"25316185,25495335"
25495335,"25316186,21674806,25495338"
25495336,"25316186,25495338"
